"Time (s)","Illuminance (lx)"
5.512232000E-3,8.400000000E2
3.861781800E-2,8.440000000E2
7.860371700E-2,8.530000000E2
1.185975060E-1,8.570000000E2
1.585863730E-1,8.770000000E2
1.985766860E-1,8.710000000E2
2.385659040E-1,8.960000000E2
2.785511780E-1,9.250000000E2
3.185519200E-1,9.530000000E2
3.585429750E-1,9.960000000E2
3.985206700E-1,1.039000000E3
4.385042640E-1,1.055000000E3
4.784968420E-1,1.095000000E3
5.184944590E-1,1.107000000E3
5.584903960E-1,1.139000000E3
5.984802010E-1,1.119000000E3
6.384553180E-1,1.131000000E3
6.784357480E-1,1.135000000E3
7.184106700E-1,1.138000000E3
7.583894590E-1,1.166000000E3
7.983614120E-1,1.194000000E3
8.383197710E-1,1.235000000E3
8.782949280E-1,1.279000000E3
9.182607480E-1,1.291000000E3
9.582389120E-1,1.329000000E3
9.982044590E-1,1.310000000E3
1.038173443E0,1.342000000E3
1.078134303E0,1.368000000E3
1.118095709E0,1.394000000E3
1.158073756E0,1.420000000E3
1.198047701E0,1.444000000E3
1.238014771E0,1.458000000E3
1.277975318E0,1.485000000E3
1.317940201E0,1.495000000E3
1.357898561E0,1.519000000E3
1.397847975E0,1.505000000E3
1.437818287E0,1.517000000E3
1.477786646E0,1.527000000E3
1.517757232E0,1.538000000E3
1.557723873E0,1.556000000E3
1.597699264E0,1.573000000E3
1.637673990E0,1.583000000E3
1.677650279E0,1.602000000E3
1.717622037E0,1.610000000E3
1.757602701E0,1.626000000E3
1.797586725E0,1.617000000E3
1.837581490E0,1.628000000E3
1.877575240E0,1.637000000E3
1.917561568E0,1.646000000E3
1.957524146E0,1.652000000E3
1.997496021E0,1.658000000E3
2.037467740E0,1.654000000E3
2.077439498E0,1.655000000E3
2.157381998E0,1.651000000E3
2.357301451E0,1.650000000E3
2.437230201E0,1.646000000E3
2.477173092E0,1.642000000E3
2.517119811E0,1.638000000E3
2.636997740E0,1.643000000E3
2.676951451E0,1.645000000E3
2.716892936E0,1.648000000E3
2.756853795E0,1.651000000E3
2.876769420E0,1.652000000E3
2.916722818E0,1.656000000E3
2.956685982E0,1.644000000E3
2.996622818E0,1.646000000E3
3.036576998E0,1.639000000E3
3.076535240E0,1.632000000E3
3.116486529E0,1.630000000E3
3.156447350E0,1.625000000E3
3.236354146E0,1.622000000E3
3.276288404E0,1.621000000E3
3.356175826E0,1.624000000E3
3.396124420E0,1.621000000E3
3.436065943E0,1.624000000E3
3.476002545E0,1.625000000E3
3.635812701E0,1.630000000E3
3.675745045E0,1.617000000E3
3.755627389E0,1.606000000E3
3.835533404E0,1.609000000E3
3.875486373E0,1.614000000E3
3.915444850E0,1.620000000E3
3.955407584E0,1.625000000E3
3.995366139E0,1.630000000E3
4.035320592E0,1.632000000E3
4.075290396E0,1.636000000E3
4.115257584E0,1.635000000E3
4.155209068E0,1.636000000E3
4.235132779E0,1.635000000E3
4.275097311E0,1.633000000E3
4.315064576E0,1.632000000E3
4.434962779E0,1.635000000E3
4.474888209E0,1.632000000E3
4.514820982E0,1.634000000E3
4.554782545E0,1.613000000E3
4.594736451E0,1.620000000E3
4.634688756E0,1.607000000E3
4.674641529E0,1.594000000E3
4.714600475E0,1.587000000E3
4.754544186E0,1.553000000E3
4.834454381E0,1.533000000E3
4.874400709E0,1.521000000E3
4.914342232E0,1.518000000E3
4.954297818E0,1.502000000E3
4.994269615E0,1.508000000E3
